,id,pid,ms_subclass,ms_zoning,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_val,mo_sold,yr_sold,sale_type,saleprice,exterior_qc,basment_qc,overall_qc,garage_qc,mo_yr_sold,garage_car_area,gr_area_rooms,gr_bed_bath,overall_qual_gr_area,overall_qc_gr_area
0,109,533352170,60,RL,13517,Pave,2,Lvl,3,CulDSac,2,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3.0,3.0,1.0,6.0,533.0,1.0,0.0,192.0,725.0,GasA,5,1,4,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,7,0,0.0,0.0,2.0,475.0,3.0,3.0,2,0,44,0,0,0,0,0.0,0.0,0,3,2010,WD ,130500,12,9.0,48,9.0,6030,950.0,8874,6,8874,70992
1,544,531379050,60,RL,11492,Pave,2,Lvl,3,CulDSac,2,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4.0,3.0,1.0,6.0,637.0,1.0,0.0,276.0,913.0,GasA,5,1,4,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,7,1,3.0,0.0,2.0,559.0,3.0,3.0,2,0,74,0,0,0,0,0.0,0.0,0,4,2009,WD ,220000,12,12.0,35,9.0,8036,1118.0,16976,8,14854,74270
2,153,535304180,20,RL,7922,Pave,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,6.0,731.0,1.0,0.0,326.0,1057.0,GasA,3,1,4,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,7,0,0.0,1.0,1.0,246.0,3.0,3.0,2,0,52,0,0,0,0,0.0,0.0,0,1,2010,WD ,109000,12,9.0,35,9.0,2010,246.0,5285,3,5285,36995
3,318,916386060,60,RL,9802,Pave,3,Lvl,3,Inside,2,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,384.0,384.0,GasA,4,1,4,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,7,0,0.0,3.0,2.0,400.0,3.0,3.0,2,100,0,0,0,0,0,0.0,0.0,0,4,2010,WD ,174000,9,12.0,25,9.0,8040,800.0,10108,6,7220,36100
4,255,906425045,50,RL,14235,Pave,2,Lvl,3,Inside,2,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2.0,4.0,1.0,1.0,0.0,1.0,0.0,676.0,676.0,GasA,3,1,4,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,7,0,0.0,1.0,2.0,484.0,3.0,3.0,0,0,59,0,0,0,0,0.0,0.0,0,3,2010,WD ,138500,9,8.0,48,9.0,6030,968.0,8670,6,8670,69360
5,138,535126040,20,RL,16492,Pave,2,Lvl,3,Corner,2,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3.0,3.0,1.0,5.0,247.0,3.0,713.0,557.0,1517.0,GasA,5,1,4,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,4,1,4.0,3.0,2.0,578.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,6,2010,WD ,190000,12,9.0,36,9.0,12060,1156.0,11328,4,11328,67968
6,2827,908186070,180,RM,3675,Pave,3,Lvl,3,Inside,2,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4.0,3.0,4.0,6.0,547.0,1.0,0.0,0.0,547.0,GasA,4,1,4,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,7,0,0.0,3.0,2.0,525.0,3.0,3.0,2,0,44,0,0,0,0,0.0,0.0,0,6,2006,New,140000,9,12.0,30,9.0,12036,1050.0,5360,4,6432,32160
7,145,535154050,20,RL,12160,Pave,2,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3.0,3.0,1.0,3.0,1000.0,1.0,0.0,188.0,1188.0,GasA,2,1,4,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,7,0,0.0,0.0,2.0,531.0,3.0,3.0,2,0,0,0,0,0,0,0.0,3.0,0,5,2010,COD,142000,9,9.0,25,9.0,10050,1062.0,7128,3,5940,29700
8,1942,535353130,20,RL,15783,Pave,3,Lvl,3,Inside,2,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,292.0,1.0,0.0,632.0,924.0,GasA,3,1,4,924,0,0,924,0.0,0.0,1,0,2,1,3,6,7,0,0.0,1.0,1.0,420.0,3.0,3.0,2,0,324,0,0,0,0,0.0,3.0,400,6,2007,WD ,112500,9,9.0,25,9.0,12042,420.0,5544,2,4620,23100
9,1956,535426130,60,RL,11606,Pave,2,HLS,3,Inside,0,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4.0,3.0,3.0,3.0,650.0,1.0,0.0,390.0,1040.0,GasA,3,1,4,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,7,2,3.0,1.0,2.0,504.0,3.0,3.0,2,335,0,0,0,0,0,0.0,0.0,0,9,2007,WD ,135000,9,12.0,25,9.0,18063,1008.0,18720,5,10400,52000
